"pitch","roll","yaw","vgx","vgy","vgz","temperature_low","temperature_high","tof","height","battery","barometer","time","acc_x","acc_y","acc_z"
"-1","-5","75","0","0","0","87","88","10","0","60","-14.32","23","-44.00","81.00","-985.00"
"-1","-5","74","0","0","0","87","88","10","0","60","-14.23","23","-10.00","91.00","-1009.00"
"-1","-5","74","0","0","0","87","88","10","0","60","-14.21","23","-8.00","90.00","-1003.00"
"-1","-6","74","0","0","0","87","88","10","0","60","-14.43","23","-64.00","116.00","-998.00"
"-2","-6","74","0","0","0","87","88","10","0","60","-14.16","23","-63.00","135.00","-995.00"
"-2","-5","74","0","0","0","86","88","10","0","60","-14.46","23","-51.00","137.00","-998.00"
"-2","-5","74","0","0","0","86","88","10","0","60","-14.12","23","-40.00","83.00","-1001.00"
"-2","-4","73","0","0","0","86","88","10","0","60","-14.12","23","-6.00","81.00","-1026.00"
"-2","-3","72","0","0","0","86","88","10","0","60","-14.24","23","-89.00","36.00","-994.00"
"-2","-2","71","0","0","0","86","88","10","0","60","-14.22","23","-113.00","5.00","-955.00"
"-2","-2","70","0","0","0","86","88","10","0","60","-14.20","23","3.00","26.00","-1016.00"
"0","-3","70","0","0","0","86","88","10","0","60","-14.08","23","38.00","59.00","-1033.00"
"-1","-3","71","0","0","0","86","88","10","0","60","-14.23","23","-70.00","39.00","-969.00"
"-1","-3","71","0","0","0","86","88","10","0","60","-14.27","23","-35.00","68.00","-1004.00"
"0","-3","71","0","0","0","86","88","10","0","60","-14.11","23","7.00","75.00","-1014.00"
"-1","-3","71","0","0","0","87","89","10","0","60","-14.45","23","-24.00","37.00","-1007.00"
"-1","-4","71","0","0","0","87","89","10","0","60","-14.16","23","-26.00","79.00","-1016.00"
"-1","-4","70","0","0","0","87","89","10","0","60","-14.41","23","19.00","46.00","-995.00"
"-2","-4","70","0","0","0","87","89","10","0","60","-14.26","23","-50.00","66.00","-985.00"
"-2","-4","70","0","0","0","87","89","10","0","60","-14.46","23","-88.00","72.00","-984.00"
"-2","-4","70","0","0","0","87","89","10","0","60","-14.50","23","-57.00","80.00","-983.00"
"-1","-4","70","0","0","0","87","89","10","0","60","-14.02","23","-11.00","79.00","-988.00"
"-1","-4","70","0","0","0","87","89","10","0","60","-14.37","23","-51.00","98.00","-988.00"
"0","-4","70","0","0","0","87","89","10","0","60","-14.32","23","-13.00","92.00","-1001.00"
"-1","-5","71","0","0","0","87","89","10","0","60","-14.33","23","-29.00","90.00","-1004.00"
"-2","-5","71","0","0","0","86","89","10","0","60","-14.29","23","-41.00","67.00","-958.00"
"-1","-6","71","0","0","0","86","89","10","0","60","-14.41","23","-19.00","118.00","-997.00"
"-1","-6","71","0","0","0","86","89","10","0","60","-13.97","23","-10.00","119.00","-1009.00"
"-1","-6","71","0","0","0","86","89","10","0","60","-14.52","23","-33.00","109.00","-982.00"
